,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_metric,param_n_neighbors,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
19,0.0009976863861083985,6.14361702286011e-07,0.001795053482055664,0.00039970944114713677,euclidean,20,"{'metric': 'euclidean', 'n_neighbors': 20}",0.5555555555555556,0.6296296296296297,0.6666666666666666,0.6538461538461539,0.5769230769230769,0.6165242165242164,0.04327671901250075,40
20,0.000399017333984375,0.0004886944566570865,0.001595449447631836,0.0004894404509428332,manhattan,1,"{'metric': 'manhattan', 'n_neighbors': 1}",0.8888888888888888,0.8148148148148148,0.8518518518518519,0.8076923076923077,0.8846153846153846,0.8495726495726494,0.033885173245370645,1
21,0.0007976055145263672,0.00039880402226081233,0.0015960216522216796,0.0004886565544921727,manhattan,2,"{'metric': 'manhattan', 'n_neighbors': 2}",0.6296296296296297,0.8148148148148148,0.8888888888888888,0.7692307692307693,0.6538461538461539,0.7512820512820512,0.0975574457202571,7
22,0.000798797607421875,0.0004000224292792903,0.0009964942932128907,2.204751881239855e-05,manhattan,3,"{'metric': 'manhattan', 'n_neighbors': 3}",0.7037037037037037,0.7777777777777778,0.8518518518518519,0.8076923076923077,0.8461538461538461,0.7974358974358974,0.0540590314082192,2
23,0.00040569305419921873,0.0004969858150973992,0.0012924671173095703,0.00039895429395864787,manhattan,4,"{'metric': 'manhattan', 'n_neighbors': 4}",0.6296296296296297,0.7407407407407407,0.8888888888888888,0.8076923076923077,0.6923076923076923,0.7518518518518519,0.09000504581326782,6
24,0.000989818572998047,1.4734653974007146e-05,0.0009975910186767578,1.784161275279017e-07,manhattan,5,"{'metric': 'manhattan', 'n_neighbors': 5}",0.7407407407407407,0.7407407407407407,0.8148148148148148,0.8076923076923077,0.7307692307692307,0.766951566951567,0.036424922031605834,5
25,8.821487426757812e-05,0.00017642974853515625,0.0017956733703613282,0.0003987094535162892,manhattan,6,"{'metric': 'manhattan', 'n_neighbors': 6}",0.7037037037037037,0.7407407407407407,0.8888888888888888,0.8461538461538461,0.6923076923076923,0.7743589743589743,0.0789004064976985,4
26,0.0,0.0,0.001405191421508789,0.00048239160820099026,manhattan,7,"{'metric': 'manhattan', 'n_neighbors': 7}",0.7037037037037037,0.7037037037037037,0.7777777777777778,0.7692307692307693,0.7692307692307693,0.7447293447293447,0.03364236904643992,8
27,0.00039920806884765627,0.0004889284069753907,0.001988077163696289,1.3333205986635226e-05,manhattan,8,"{'metric': 'manhattan', 'n_neighbors': 8}",0.6666666666666666,0.7407407407407407,0.7777777777777778,0.8846153846153846,0.6538461538461539,0.7447293447293447,0.08370155092369704,8
28,0.00039844512939453126,0.0004879938384279509,0.001994466781616211,8.869683855885637e-07,manhattan,9,"{'metric': 'manhattan', 'n_neighbors': 9}",0.7407407407407407,0.7407407407407407,0.7407407407407407,0.6923076923076923,0.6923076923076923,0.7213675213675215,0.02372725106969459,16
